Zipcode,lat,lon
01001,42.032005,-72.63700899999998
01005,42.415764,-72.097107
01008,42.17877150000001,-72.9164545
01010,42.137336499999996,-72.176853
01011,42.256182,-72.946128
01013,42.155138,-72.60850542857143
01020,42.167892,-72.5744378
01026,42.489609,-72.960762
01028,42.07583050000001,-72.5171125
01035,42.360171428571434,-72.56585814285714
01040,42.2168565,-72.63162616666666
01056,42.1675756,-72.4664612
01057,42.107729000000006,-72.3167495
01060,42.3453686,-72.6360268
01062,42.307142,-72.70087800000002
01069,42.16840750000001,-72.33905225000001
01071,42.165661,-72.85234100000002
01083,42.1811885,-72.2178615
01085,42.148563,-72.757581
01089,42.142888,-72.635798
01092,42.17792,-72.2474
01095,42.1312395,-72.45094166666667
01103,42.103033,-72.59326549999999
01104,42.128115,-72.56999599999999
01105,42.09019575,-72.582382
01106,42.068329,-72.57766
01107,42.11549000000001,-72.608002
01109,42.106258,-72.546486
01129,42.138969,-72.495918
01201,42.4427355,-73.27115599999999
01223,42.244953,-73.082932
01226,42.489331,-73.125886
01238,42.299551666666666,-73.22337266666666
01240,42.336037,-73.28376800000002
01266,42.33724966666667,-73.386504
01267,42.712058999999996,-73.202782
01270,42.500282,-73.102501
01301,42.608467,-72.58153
01331,42.58389525,-72.2328515
01337,42.671143,-72.543037
01360,42.679649,-72.482513
01364,42.578934,-72.268059
01366,42.4775395,-72.178674
01370,42.593128,-72.682022
01373,42.468856714285714,-72.61345885714286
01420,42.5592279,-71.8284617
01431,42.63776,-71.794022
01432,42.556882333333334,-71.56703966666664
01434,42.533852,-71.631119
01440,42.5526505,-71.999145
01450,42.601492,-71.5298615
01451,42.52380766666666,-71.58176433333334
01452,42.4547155,-71.98799149999999
01453,42.5382204,-71.75196559999999
01460,42.5322833125,-71.49534153125
01462,42.5924964,-71.7388872
01463,42.667479333333326,-71.58955366666667
01464,42.5806065,-71.65239350000002
01468,42.5640375,-72.0769085
01469,42.65117516666667,-71.69619366666666
01473,42.552943875,-71.90497587499999
01474,42.63747,-71.745659
01475,42.650828999999995,-72.001923
01501,42.1936466,-71.8490892
01503,42.3923666,-71.6089596
01507,42.1338708,-72.001632
01515,42.182652,-72.031258
01516,42.089058,-71.69528199999998
01523,42.50785345,-71.67463085
01527,42.21007064285714,-71.76963321428572
01529,42.057766,-71.577789
01532,42.309526000000005,-71.667338125
01536,42.227432,-71.697372
01537,42.1799795,-71.9023095
01540,42.143577500000006,-71.85795399999999
01545,42.311183,-71.7314576
01550,42.078358,-72.047874
01562,42.237831,-72.001724
01564,42.448977750000005,-71.75863625
01566,42.12633172659251,-72.06288305520776
01569,42.066928999999995,-71.666428
01570,42.05824693333333,-71.86751993333334
01581,42.28524375,-71.592992625
01583,42.385605,-71.7951625
01585,42.23482,-72.1423
01588,42.1060145,-71.6855205
01590,42.150368,-71.72361
01602,42.2653005,-71.833996
01603,42.23645660812728,-71.82693584933278
01604,42.259896499999996,-71.79236925000001
01605,42.28257230738807,-71.78574302996887
01606,42.3141762,-71.801152
01607,42.2147885,-71.78788349999998
01609,42.262001,-71.80435200000002
01610,42.24559071428571,-71.80800171428572
01611,42.24128,-71.86554
01701,42.31120395833333,-71.40755366666666
01702,42.29285688888889,-71.46888177777777
01719,42.49020971428571,-71.53402242857143
01720,42.478868642857144,-71.43516478571429
01721,42.265987,-71.465248
01730,42.50165,-71.247967125
01740,42.434934,-71.60799533333333
01741,42.524399,-71.369179
01742,42.45371091304348,-71.3714008695652
01748,42.256761193548385,-71.56256938709677
01749,42.397670500000004,-71.56314449999999
01752,42.35510531578947,-71.58032442105262
01754,42.428652,-71.454159
01757,42.163994,-71.50604680000001
01760,42.29180238461538,-71.35412923076923
01772,42.30155025,-71.538759
01773,42.4427242,-71.30157399999999
01775,42.4355815,-71.5170745
01776,42.3778745,-71.40135199999999
01778,42.3555048,-71.3745448
01801,42.493171048679905,-71.12613264195595
01803,42.48326405128205,-71.20906846153846
01810,42.65662098536555,-71.18485413721629
01821,42.5475143880597,-71.25882228358209
01824,42.60474707575757,-71.33727231818182
01826,42.670218500000004,-71.34278474999999
01827,42.6774025,-71.4794575
01830,42.798062404138726,-71.07243324371184
01832,42.778466099999996,-71.1135826
01833,42.70725798315254,-70.96602416245943
01835,42.7614849,-71.12258130000001
01840,42.70483,-71.168137
01841,42.71003172727273,-71.14343254545454
01843,42.692833,-71.146952
01844,42.72727179629629,-71.18848424074073
01845,42.68003125,-71.118286125
01850,42.651161,-71.294975
01851,42.6118741,-71.325208
01852,42.6209428,-71.2934658
01854,42.640427,-71.357155
01860,42.829671703041335,-70.99350558288752
01862,42.5731735106383,-71.29376853191489
01863,42.631813,-71.405361
01864,42.565464,-71.086876
01867,42.50302363043478,-71.11450826086957
01876,42.62771917569022,-71.24194959510402
01879,42.67447871428572,-71.42775085714285
01880,42.5168272,-71.07940326666667
01886,42.5715741724138,-71.43487303448276
01887,42.562940786336405,-71.14886063086729
01890,42.450601750000004,-71.13249400000001
01901,42.4622085,-70.94717625
01902,42.46576675,-70.94104775000001
01904,42.49491,-70.96397349999998
01905,42.45301425,-70.96176700000001
01906,42.47419375,-71.02065546428572
01907,42.481594,-70.902641
01913,42.841610833333334,-70.9280965
01915,42.57096283333333,-70.88602358333334
01921,42.65594121428571,-70.98215921428572
01922,42.76090183333333,-70.93903766666666
01923,42.57275003482039,-70.95479922687358
01930,42.624945333333336,-70.68780283333334
01940,42.51600432142857,-71.02486082142858
01944,42.590431,-70.765282
01949,42.5911928,-71.0104232
01950,42.8240846,-70.9140428
01951,42.775214,-70.88489399999997
01952,42.85581725,-70.89112800000001
01960,42.53025434782609,-70.9662143478261
01969,42.72126750000001,-70.9043005
01983,42.647591,-70.949745
01984,42.588167999999996,-70.84899133333333
01985,42.79602166666666,-70.96420266666667
02019,42.113220000000005,-71.46456333333333
02021,42.19556775675676,-71.13020251351351
02026,42.238648000000005,-71.18490882142858
02030,42.235054000000005,-71.28212350000001
02032,42.14853899999999,-71.199413
02035,42.03863021739131,-71.25408034782609
02038,42.0850155,-71.42211249999998
02043,42.18361906064572,-70.91040624010628
02048,42.016918777777775,-71.23498544444446
02052,42.197399,-71.325378
02061,42.16514333333334,-70.83178433333335
02062,42.17257335294118,-71.17474588235295
02067,42.11174253813283,-71.2213374197508
02072,42.15557815384615,-71.07139057692308
02081,42.111772,-71.28416700000002
02090,42.2237975887595,-71.17214252467909
02093,42.051681538461544,-71.32725815384616
02108,42.35751545454545,-71.06122172727272
02109,42.3622732,-71.05258233333332
02110,42.3549812768421,-71.05316646894737
02111,42.347839196228996,-71.05952241973702
02113,42.36443633333334,-71.05577083333334
02114,42.36515837857143,-71.06434042839285
02115,42.34435655555555,-71.08958177777778
02116,42.35010346153846,-71.07676346153846
02118,42.33629953200373,-71.06734912713897
02119,42.3264455,-71.07931921428572
02120,42.332413,-71.09443666666665
02121,42.307439458333334,-71.08423366666666
02122,42.29540566,-71.04939256588236
02124,42.285959416666664,-71.06604004166667
02125,42.31665172829268,-71.05601442756098
02126,42.27732042857143,-71.0926879047619
02127,42.334131105263154,-71.05014815789474
