hour,Start_Lat,Start_Lng
0,41.31153,-72.49276
0,30.38737,-81.55824
0,40.416698,-123.967785
0,40.17847,-75.205348
0,39.805666208077405,-75.45136570894502
0,42.424317,-123.335233
0,45.651851,-120.954505
0,35.34013152105645,-86.87821984249649
0,39.235032,-76.649694
0,39.238379,-76.70525699999997
0,37.746281,-121.725639
0,33.78153,-84.39121
0,44.303136,-117.240609
0,28.295341,-80.742806
0,34.909794,-81.88530300000002
0,44.524425,-121.209998
0,30.450538,-87.314448
0,38.069149,-122.539078
0,26.16223,-81.69292
0,42.42324,-122.85105
0,40.780169,-73.567704
0,47.119671,-122.055298
0,33.802989000000004,-118.136039
0,36.182452440089314,-86.77509427029241
0,36.14011,-86.7233
0,34.120762,-117.873566
0,27.953659,-82.413302
0,40.511537790105294,-79.94754195175197
0,40.058803999999995,-74.16570300000002
0,40.667591,-73.99628299999998
0,37.872121,-121.219523
0,42.932564,-78.76619000000002
0,32.62793,-117.076324
0,36.212482,-86.764902
0,29.68845,-95.5702
0,34.39233,-117.407539
0,39.906131,-74.97617199999998
0,41.95503,-87.73250999999998
0,39.643102,-75.893436
0,33.926443,-118.213861
0,34.658431,-83.083376
0,35.816066,-78.601644
0,28.809348,-81.86059499999998
0,34.303383000000004,-118.479548
0,42.573051,-73.62429200000003
0,36.29616,-79.64134
0,33.771553999999995,-117.251314
0,35.689975,-120.640791
0,32.964242,-80.172771
0,29.980774,-90.057614
0,37.531239,-122.003693
0,30.453898,-87.096464
0,40.848766565128095,-72.88050055469091
0,38.64176,-85.78364
0,35.057383,-118.17526399999998
0,38.294654,-104.609418
0,33.626715000000004,-117.673153
0,32.917064,-117.115797
0,31.790667,-106.318772
0,27.969278000000006,-82.45336800000003
0,44.411636,-117.308661
0,30.423278000000003,-91.141634
0,39.989125,-74.875171
0,37.814781,-122.299911
0,30.478206,-84.33413399999998
0,37.913142,-122.067064
0,29.954211,-90.084842
0,33.331879,-86.779662
0,38.99805900000001,-76.917863
0,34.03117,-118.192406
0,37.348869,-122.069327
0,35.64933900000001,-119.220535
0,44.004216,-92.349059
0,45.101763,-93.456412
0,34.134476,-117.958549
0,35.101937,-89.870065
0,47.58813,-122.23404
0,37.516037,-121.940689
0,32.720328,-96.827596
0,33.958560999999996,-81.093971
0,26.083892583722665,-80.18173098525914
0,34.223023652867205,-118.19056391659645
0,40.747868,-111.89967
0,40.734829,-73.289108
0,34.27422,-83.86331
0,39.800136,-84.194424
0,35.11637091619913,-78.95089745483898
0,34.477131,-82.41147600000002
0,33.882351,-117.374878
0,47.445851,-122.267725
0,33.9202,-84.32015
0,38.219471,-77.49958000000002
0,33.792124,-79.018651
0,42.435247,-83.095033
0,38.768055,-90.524097
0,25.72815,-80.31854
0,40.58245539645871,-111.90024733490036
0,30.439177,-91.019979
0,41.89486,-87.65651
0,37.70015,-121.778816
0,39.856117,-77.708801
0,42.98895478,-78.91793847
0,33.866408,-117.997978
0,39.099951,-94.669364
0,37.383712,-121.969503
0,33.651434,-78.983513
0,34.047024,-118.446587
0,38.495426,-121.516403
0,28.48614,-81.43992
0,38.244248,-122.082717
0,39.542417,-110.730921
0,37.806404,-122.304474
0,37.133259,-80.366661
0,37.77848,-122.40061
0,40.01378417,-75.61714768
0,47.917381,-122.0709
0,41.5290820596622,-75.65321803056881
0,34.133306,-118.352405
0,33.901897,-118.291794
0,30.381586,-87.306058
0,38.46647100000001,-121.415373
0,28.443692,-80.765224
0,34.130669,-118.27433
0,33.77874,-117.87569
0,33.763271,-84.38290699999997
0,33.520703999999995,-86.81551400000002
0,33.880022,-84.27175600000002
0,28.052872,-80.552673
0,42.776733,-71.49284
